EXTRACT-A (EXT-A), EXTRACT-A
EXTRACT-B (EXT-B), EXTRACT-B
EXTRACT-C (EXT-C), EXTRACT-C
EXTRACT-D (EXT-D), EXTRACT-D
BOX-A (BOX-A), BOX-A
BOX-B (BOX-B), BOX-B
LETTER-A (LTR-A), LETTER-A
LETTER-B (LTR-B), LETTER-B
LETTER-C (LTR-C), LETTER-C
LETTER-D (LTR-D), LETTER-D
COMPUTER-A (COM-A), COMPUTER-A
COMPUTER-B (COM-B), COMPUTER-B
SIDEBAR-A (SIDE-A), SIDEBAR-A
SIDEBAR-B (SIDE-B), SIDEBAR-B
PULL-QUOTE (PQ), PULL-QUOTE
IMAGE (IMG), IMAGE
TABLE (TBL), TABLE
RECIPE (REC), RECIPE
